,Price,Building_condition,Bedrooms,Living_area,Kitchen_type,Furnished,Garden,Garden_surface,Terrace,Terrace_surface,Surface_plot,Energy_class,Number_frontages,Swimming_pool
0,"Make an offer starting from € 249,000
Make an offer starting from 249000 €",To be done up,4,"235 m²
square meters",Not installed,No,,,,"40 m²
square meters","155 m²
square meters",D,2,No
1,"€ 370,000
370000 €",Good,3,"118 m²
square meters",Hyper equipped,No,,,,"8 m²
square meters","82 m²
square meters",G,2,No
2,"€ 455,000
455000 €",As new,3,"175 m²
square meters",USA hyper equipped,No,,"85 m²
square meters",,"15 m²
square meters","140 m²
square meters",D,2,No
3,"€ 640,000
640000 €",Just renovated,3,"205 m²
square meters",Hyper equipped,No,,"18 m²
square meters",,,"126 m²
square meters",B,2,No
4,"Make an offer starting from € 229,000
Make an offer starting from 229000 €",To be done up,4,"159 m²
square meters",Semi equipped,No,,"251 m²
square meters",,"48 m²
square meters","417 m²
square meters",F,2,No
5,,,,,,,,,,,,Not specified,,
6,"€ 370,000
370000 €",As new,2,"419 m²
square meters",Installed,No,,"1247 m²
square meters",,,"1247 m²
square meters",F,4,No
7,"€ 399,000
399000 €",Good,4,"201 m²
square meters",Installed,No,,"178 m²
square meters",,"85 m²
square meters","293 m²
square meters",C,2,No
8,"€ 524,500
524500 €",As new,3,"197 m²
square meters",Hyper equipped,,,,Yes,,"525 m²
square meters",E,4,No
9,,,,,,,,,,,,Not specified,,
10,"€ 159,900
159900 €",To renovate,1,"60 m²
square meters",Not installed,No,,"60 m²
square meters",,"10 m²
square meters","158 m²
square meters",F,3,No
11,,,,,,,,,,,,Not specified,,
12,"€ 950,000
950000 €",As new,4,"358 m²
square meters",Installed,No,,"2785 m²
square meters",,"100 m²
square meters","2785 m²
square meters",D,4,Yes
13,"Make an offer starting from € 1,150,000
Make an offer starting from 1150000 €",As new,6,"430 m²
square meters",Hyper equipped,No,,"700 m²
square meters",,"40 m²
square meters","1154 m²
square meters",A,4,Yes
14,"Make an offer starting from € 385,000
Make an offer starting from 385000 €",As new,4,"180 m²
square meters",USA hyper equipped,No,,"1100 m²
square meters",,"35 m²
square meters","1458 m²
square meters",D,3,
15,"Make an offer starting from € 595,000
Make an offer starting from 595000 €",Good,4,"210 m²
square meters",Semi equipped,No,,"2180 m²
square meters",,"105 m²
square meters","2364 m²
square meters",E,4,Yes
